Premium Apartment Complex â Ragama,3000,Building,https://ikman.lk/en/ad/premium-apartment-complex-ragama-for-sale-gampaha,"Ragama,",Ragama Town,https://i.ikman-st.com/premium-apartment-complex-ragama-for-sale-gampaha/e14ab51c-4a67-47fa-8484-de2a04694302/142/107/cropped.jpg,80000000,Sale,Ikman.lk,2026-02-21
Colombo 5 Pamankada Commercial Property for Sale,2000,Building,https://ikman.lk/en/ad/colombo-5-pamankada-commercial-property-for-sale-for-sale-colombo-1,"Colombo 5,",Colombo 5 Pamankada,https://i.ikman-st.com/colombo-5-pamankada-commercial-property-for-sale-for-sale-colombo-1/4a2c58ef-1d67-468a-8066-746b87138baf/142/107/cropped.jpg,76000000,Sale,Ikman.lk,2026-02-21
Commercial Building for Sale in Nugegoda,7500,Building,https://ikman.lk/en/ad/commercial-building-for-sale-in-nugegoda-for-sale-colombo-52,"Nugegoda,","Facing Pagoda Road, Nugegoda",https://i.ikman-st.com/commercial-building-for-sale-in-nugegoda-for-sale-colombo-52/5ae31157-7144-4771-8b7f-2dd539e29e9a/142/107/cropped.jpg,500000000,Sale,Ikman.lk,2026-02-21
Commercial Banquet â Prime Facing on Ganemulla Road,53048,Hotel,https://ikman.lk/en/ad/commercial-banquet-prime-facing-on-ganemulla-road-for-sale-gampaha,"Kadawatha,",kadawatha,https://i.ikman-st.com/commercial-banquet-prime-facing-on-ganemulla-road-for-sale-gampaha/e7e9bbea-43ea-4fbb-a050-e8f384f3ff28/142/107/cropped.jpg,260000000,Sale,Ikman.lk,2026-02-21
HHL1129 - Commercial Property for Sale in Thandavanveli,2314,Shop,https://ikman.lk/en/ad/hhl1129-commercial-property-for-sale-in-thandavanveli-trinco-road-for-sale-batticaloa-1,"Batticaloa City,","Thandavanveli (Trinco Road), Batticaloa",https://i.ikman-st.com/hhl1129-commercial-property-for-sale-in-thandavanveli-trinco-road-for-sale-batticaloa-1/5f1f2c80-2560-4897-8a8c-62fe3ccdb332/142/107/cropped.jpg,100000,Sale,Ikman.lk,2026-02-21
Five Storey Restaurant for Sale in Peliyagoda,6000,Restaurant,https://ikman.lk/en/ad/hc187-five-storey-restaurant-for-sale-in-peliyagoda-for-sale-gampaha,"Peliyagoda,",Peliyagoda,https://i.ikman-st.com/hc187-five-storey-restaurant-for-sale-in-peliyagoda-for-sale-gampaha/c37cee2d-29ab-4329-a444-f4500a966cf2/142/107/cropped.jpg,150000000,Sale,Ikman.lk,2026-02-21
Colombo 5 - Brand New Building For Sale ..,5000,Building,https://ikman.lk/en/ad/colombo-5-brand-new-building-for-sale-for-sale-colombo-5,"Colombo 5,",Colombo 5 Edmantan Road,https://i.ikman-st.com/colombo-5-brand-new-building-for-sale-for-sale-colombo-5/1aa8c4d3-02b3-4de4-bf09-778f89fc49b3/142/107/cropped.jpg,350000000,Sale,Ikman.lk,2026-02-21
Commercial Building for Sale Galewela,9400,Building,https://ikman.lk/en/ad/commercial-building-for-sale-galewela-for-sale-matale-2,"Galewela,",Galewela,https://i.ikman-st.com/commercial-building-for-sale-galewela-for-sale-matale-2/79516607-ba3c-447a-825c-15b958863ac5/142/107/cropped.jpg,72500000,Sale,Ikman.lk,2026-02-21
Benquet Hall & Commercial For Sale in Kandana.,27000,Building,https://ikman.lk/en/ad/benquet-hall-and-commercial-for-sale-in-kandana-facing-elakanda-road-for-sale-gampaha-9,"Kandana,","Santhanapitiya road,",https://i.ikman-st.com/benquet-hall-and-commercial-for-sale-in-kandana-facing-elakanda-road-for-sale-gampaha-9/23d00c6f-6389-465d-a627-f3378b941475/142/107/cropped.jpg,220000000,Sale,Ikman.lk,2026-02-21
à¶à¶¯à·à¶ºà¶¸à¶à· à·à·à·à¶­ koi fish farm à¶à¶à¶à· à·à·à¶à·à¶«à·à¶¸à¶§,4000,Factory / Workshop,https://ikman.lk/en/ad/aadaaymk-shit-koi-fish-farm-ekk-vikinniimtt-for-sale-gampaha,"Kadawatha,",Kadawatha,https://i.ikman-st.com/aadaaymk-shit-koi-fish-farm-ekk-vikinniimtt-for-sale-gampaha/4335f03c-fd73-4ffc-9a30-7a6e9a15df29/142/107/cropped.jpg,100000000,Sale,Ikman.lk,2026-02-21
Bungalow for Sale in Nuwara Eliya,3900,Hotel,https://ikman.lk/en/ad/bungalow-for-sale-in-nuwara-eliya-for-sale-nuwara-eliya-27,"Nuwara Eliya City,",Nuwara Eliya,https://i.ikman-st.com/bungalow-for-sale-in-nuwara-eliya-for-sale-nuwara-eliya-27/fdbbc666-2231-4042-a5af-0ae988a8e928/142/107/cropped.jpg,800000000,Sale,Ikman.lk,2026-02-21
"Boutique Villa for Sale at Nuwaraeliya, Pussellawa",3000,Hotel,https://ikman.lk/en/ad/boutique-villa-for-sale-at-nuwaraeliya-pussellawa-for-sale-nuwara-eliya,"Nuwara Eliya City,","Pussellawa, Nuwaraeliya",https://i.ikman-st.com/boutique-villa-for-sale-at-nuwaraeliya-pussellawa-for-sale-nuwara-eliya/45582d4f-ad38-4b22-9958-5b081ec4b6a8/142/107/cropped.jpg,120000000,Sale,Ikman.lk,2026-02-21
Hotel for Sale - Ella,4600,Hotel,https://ikman.lk/en/ad/hotel-for-sale-ella-for-sale-badulla,"Ella,","Ella : 70 perches Land with Hotel for Sale at Ballaketuwa road70.0 perchesMEMBERBadulla, Land For SaleRs 85,000,000 total price38 days",https://i.ikman-st.com/hotel-for-sale-ella-for-sale-badulla/31a3a23c-5fdb-4e74-aad7-f7e06b501764/142/107/cropped.jpg,118000000,Sale,Ikman.lk,2026-02-21
